"Identificador de URL";"Nombre";"Categorías";"Nombre de propiedad 1";"Valor de propiedad 1";"Nombre de propiedad 2";"Valor de propiedad 2";"Nombre de propiedad 3";"Valor de propiedad 3";"Precio";"Precio promocional";"Peso (kg)";"Alto (cm)";"Ancho (cm)";"Profundidad (cm)";"Stock";"SKU";"Código de barras";"Mostrar en tienda";"Envío sin cargo";"Descripción";"Tags";"Título para SEO";"Descripción para SEO";"Marca";"Producto Físico";"MPN (Número de pieza del fabricante)";"Sexo";"Rango de edad";"Costo"
"glock-17-gen3-9mm";"Glock 17 gen3 9mm";"Armas > Pistolas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"GLC-001";"";"SI";"NO";"Pistola Glock 17 gen3 calibre 9mm, ideal para defensa personal y tiro deportivo. Fabricada por Glock, Austria. Máxima confiabilidad y precisión.";"glock,17,9mm";"Pistola Glock 17 gen3 9mm | JGO Armería";"Pistola Glock 17 gen3 calibre 9mm, ideal para defensa personal y tiro deportivo. Fabricada por Glock, Austria. Máxima confiabilidad y precisión.";"Glock";"SI";"";"";"";""
"glock-17-gen5-9mm";"Glock 17 gen5 9mm";"Armas > Pistolas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"GLC-002";"";"SI";"NO";"Pistola Glock 17 gen5 calibre 9mm, ideal para defensa personal y tiro deportivo. Fabricada por Glock, Austria. Máxima confiabilidad y precisión.";"glock,17,9mm";"Pistola Glock 17 gen5 9mm | JGO Armería";"Pistola Glock 17 gen5 calibre 9mm, ideal para defensa personal y tiro deportivo. Fabricada por Glock, Austria. Máxima confiabilidad y precisión.";"Glock";"SI";"";"";"";""
"glock-19-gen5-9mm";"Glock 19 gen5 9mm";"Armas > Pistolas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"GLC-003";"";"SI";"NO";"Pistola Glock 19 gen5 calibre 9mm, ideal para defensa personal y tiro deportivo. Fabricada por Glock, Austria. Máxima confiabilidad y precisión.";"glock,19,9mm";"Pistola Glock 19 gen5 9mm | JGO Armería";"Pistola Glock 19 gen5 calibre 9mm, ideal para defensa personal y tiro deportivo. Fabricada por Glock, Austria. Máxima confiabilidad y precisión.";"Glock";"SI";"";"";"";""
"glock-19-gen4-9mm";"Glock 19 gen4 9mm";"Armas > Pistolas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"GLC-004";"";"SI";"NO";"Pistola Glock 19 gen4 calibre 9mm, ideal para defensa personal y tiro deportivo. Fabricada por Glock, Austria. Máxima confiabilidad y precisión.";"glock,19,9mm";"Pistola Glock 19 gen4 9mm | JGO Armería";"Pistola Glock 19 gen4 calibre 9mm, ideal para defensa personal y tiro deportivo. Fabricada por Glock, Austria. Máxima confiabilidad y precisión.";"Glock";"SI";"";"";"";""
"glock-19x-arena-9mm";"Glock 19x arena 9mm";"Armas > Pistolas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"GLC-005";"";"SI";"NO";"Pistola Glock 19x arena calibre 9mm, ideal para defensa personal y tiro deportivo. Fabricada por Glock, Austria. Máxima confiabilidad y precisión.";"glock,19x,9mm";"Pistola Glock 19x arena 9mm | JGO Armería";"Pistola Glock 19x arena calibre 9mm, ideal para defensa personal y tiro deportivo. Fabricada por Glock, Austria. Máxima confiabilidad y precisión.";"Glock";"SI";"";"";"";""
"glock-21-gen4-45acp";"Glock 21 gen4 45ACP";"Armas > Pistolas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"GLC-006";"";"SI";"NO";"Pistola Glock 21 gen4 calibre .45 ACP, potente y confiable. Fabricada por Glock, Austria. Máxima confiabilidad y precisión.";"glock,21,45acp";"Pistola Glock 21 gen4 45ACP | JGO Armería";"Pistola Glock 21 gen4 calibre .45 ACP, potente y confiable. Fabricada por Glock, Austria. Máxima confiabilidad y precisión.";"Glock";"SI";"";"";"";""
"glock-22-gen4-40s-w";"Glock 22 gen4 40S&W";"Armas > Pistolas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"GLC-007";"";"SI";"NO";"Pistola Glock 22 gen4 calibre .40 S&W, excelente rendimiento. Fabricada por Glock, Austria. Máxima confiabilidad y precisión.";"glock,22,40s&w";"Pistola Glock 22 gen4 40S&W | JGO Armería";"Pistola Glock 22 gen4 calibre .40 S&W, excelente rendimiento. Fabricada por Glock, Austria. Máxima confiabilidad y precisión.";"Glock";"SI";"";"";"";""
"glock-25-380acp";"Glock 25 380ACP";"Armas > Pistolas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"GLC-008";"";"SI";"NO";"Pistola Glock 25 calibre .380 ACP, compacta y precisa. Fabricada por Glock, Austria. Máxima confiabilidad y precisión.";"glock,25,380acp";"Pistola Glock 25 380ACP | JGO Armería";"Pistola Glock 25 calibre .380 ACP, compacta y precisa. Fabricada por Glock, Austria. Máxima confiabilidad y precisión.";"Glock";"SI";"";"";"";""
"glock-30-gen4-45acp";"Glock 30 gen4 45ACP";"Armas > Pistolas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"GLC-009";"";"SI";"NO";"Pistola Glock 30 gen4 calibre .45 ACP, potente y confiable. Fabricada por Glock, Austria. Máxima confiabilidad y precisión.";"glock,30,45acp";"Pistola Glock 30 gen4 45ACP | JGO Armería";"Pistola Glock 30 gen4 calibre .45 ACP, potente y confiable. Fabricada por Glock, Austria. Máxima confiabilidad y precisión.";"Glock";"SI";"";"";"";""
"glock-30s-45acp";"Glock 30s 45ACP";"Armas > Pistolas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"GLC-010";"";"SI";"NO";"Pistola Glock 30s calibre .45 ACP, potente y confiable. Fabricada por Glock, Austria. Máxima confiabilidad y precisión.";"glock,30s,45acp";"Pistola Glock 30s 45ACP | JGO Armería";"Pistola Glock 30s calibre .45 ACP, potente y confiable. Fabricada por Glock, Austria. Máxima confiabilidad y precisión.";"Glock";"SI";"";"";"";""
